nestID,plot,year,fate,clutch.completion,fledgefail,eggs,fledged,BHCO.eggs,GPS.E,GPS.N
11260,McCormick's Creek State Park,2011,failed: unknown,6/13/2011,6/29/2011,4,0,0,524378,4350741
11261,Area 58,2011,FLEDGED,6/8/2011,7/2/2011,4,3,1,634087,4300662
11263,Area 7,2011,failed: pred,6/11/2011,6/17/2011,3,0,0,635421,4320996
11264,Owen-Putnam State Forest,2011,FLEDGED,6/10/2011,7/4/2011,2,2,0,512682,4352454
11265,Owen-Putnam State Forest,2011,failed: pred,6/11/2011,6/27/2011,3,0,0,512280,4352253
11267,Owen-Putnam State Forest,2011,FLEDGED,6/9/2011,7/3/2011,4,3,0,512236,4352657
11268,Area 41,2011,FLEDGED,6/17/2011,7/8/2011,4,3,1,640387,4310394
11269,Area 27,2011,force fledged,5/21/2011,6/13/2011,4,4,0,640353,4318564
11270,Spring Mill State Park,2011,failed: pred,6/7/2011,6/7/2011,1,0,0,549842,4286921
11271,Spring Mill State Park,2011,failed: pred,6/12/2011,6/20/2011,3,0,1,549458,4286460
11272,Spring Mill State Park,2011,FLEDGED,6/13/2011,7/7/2011,3,3,1,549449,4286435
11273,Spring Mill State Park,2011,failed: unknown,6/17/2011,6/18/2011,4,0,0,549775,4286720
11274,Spring Mill State Park,2011,FLEDGED,5/28/2011,6/21/2011,3,3,1,549680,4286354
11275,First Creek,2011,failed: unknown,6/14/2011,6/19/2011,4,0,0,508452,4301824
11276,Area 7,2011,failed: pred,6/12/2011,7/5/2011,3,0,0,635399,4321493
11277,Sulphur Creek,2011,failed: unknown,6/20/2011,6/24/2011,3,0,1,522492,4303902
11278,East Bogs,2011,FLEDGED,6/15/2011,7/9/2011,3,3,0,513891,4293372
11279,Owen-Putnam State Forest,2011,failed: pred,6/15/2011,7/4/2011,3,0,0,512478,4352334
11280,Owen-Putnam State Forest,2011,failed: pred,5/29/2011,6/20/2011,3,0,0,512548,4352503
11282,Owen-Putnam State Forest,2011,failed: pred,6/11/2011,6/27/2011,3,0,0,512664,4352726
11283,Area 58,2011,force fledged,6/13/2011,7/7/2011,3,1,1,633865,4300799
11284,Area 58,2011,FLEDGED,5/11/2011,6/4/2011,4,4,0,634019,4300739
11285,Area 7,2011,FLEDGED,5/17/2011,6/10/2011,4,3,1,635230,4320861
11286,Area 7,2011,failed: pred,6/9/2011,6/10/2011,4,0,0,635138,4320954
11288,Area 27,2011,assumed fledged,5/15/2011,6/9/2011,4,4,0,640506,4318316
11289,Area 27,2011,force fledged,6/16/2011,7/9/2011,3,2,1,640692,4318045
11290,Martin State Forest,2011,failed: unknown,6/15/2011,6/24/2011,4,0,0,512541,4313562
11291,Martin State Forest,2011,failed: pred,6/14/2011,7/5/2011,3,0,0,512517,4313989
11292,Martin State Forest,2011,failed: pred,6/15/2011,7/6/2011,3,0,0,512476,4313950
11293,First Creek,2011,FLEDGED,6/19/2011,7/13/2011,3,3,0,508542,4302674
11294,Seed Tick,2011,FLEDGED,6/15/2011,7/9/2011,4,4,0,510664,4289726
11295,Sulphur Creek,2011,failed: pred,6/15/2011,7/4/2011,2,0,1,522642,4304175
11296,Area 41,2011,failed: pred,6/14/2011,7/1/2011,3,0,0,641623,4310487
11297,Spring Mill State Park,2011,assumed fledged,6/13/2011,7/7/2011,3,2,0,549956,4286335
11298,Owen-Putnam State Forest,2011,failed: pred,6/12/2011,6/30/2011,3,0,0,512629,4352606
11299,McCormick's Creek State Park,2011,failed: pred,6/21/2011,7/11/2011,3,0,0,524644,4350441
11300,McCormick's Creek State Park,2011,FLEDGED,6/24/2011,7/19/2011,3,3,1,524532,4350474
11301,Area 58,2011,failed: pred,6/14/2011,6/24/2011,4,0,0,634142,4300570
11302,Area 58,2011,failed: pred,6/22/2011,7/10/2011,2,0,2,634060,4300900
11303,Area 58,2011,failed: pred,6/22/2011,6/29/2011,4,0,1,633904,4300762
11304,Area 58,2011,failed: pred,6/24/2011,6/23/2011,4,0,0,634026,4300517
11305,Spring Mill State Park,2011,failed: unknown,7/2/2011,7/2/2011,4,0,0,550078,4286301
11306,Sulphur Creek,2011,failed: pred,6/21/2011,6/24/2011,3,0,1,522413,4304129
11307,Spring Mill State Park,2011,failed: pred,6/17/2011,6/22/2011,4,0,0,550063,4286384
11308,Spring Mill State Park,2011,failed: weather,6/18/2011,6/28/2011,3,0,2,549323,4286409
11309,Seed Tick,2011,failed: pred,6/23/2011,7/5/2011,3,0,0,510626,4289453
11310,Sulphur Creek,2011,FLEDGED,6/18/2011,7/12/2011,4,4,0,522517,4304247
