point,date,time,first_det,song,distance
202,7/11/2014,523,0,1,85
202,6/2/2011,560,0,1,50
202,6/19/2011,389,0,1,40
202,7/6/2011,435,0,1,55
202,7/6/2011,435,0,1,75
202,7/6/2011,435,0,1,60
203,6/23/2014,582,9,1,6
203,6/20/2011,441,0,1,20
203,7/6/2011,524,0,1,55
203,5/31/2012,416,0,1,90
203,5/31/2012,416,0,1,75
203,5/31/2012,416,0,1,60
203,6/2/2011,495,0,1,80
203,6/30/2012,512,6,1,35
203,6/30/2012,512,0,1,45
203,7/6/2011,524,5,1,70
203,7/11/2014,500,0,1,60
203,6/16/2012,532,7,0,25
203,6/24/2014,506,0,1,35
203,6/4/2014,370,0,1,90
204,6/4/2014,381,0,1,20
204,6/3/2013,563,8,1,80
204,6/3/2013,563,5,0,35
204,6/20/2011,412,1,1,90
204,6/4/2014,381,3,1,75
204,6/24/2014,493,NA,0,15
204,7/11/2014,497,3,0,55
204,7/6/2011,541,3,1,70
204,6/19/2013,367,2,1,65
204,7/5/2013,472,1,1,35
205,6/20/2011,385,1,1,95
205,6/16/2012,562,4,1,25
205,6/4/2014,407,1,1,65
205,7/6/2011,413,0,1,70
205,6/2/2011,539,0,1,75
205,7/5/2013,494,7,0,50
205,6/23/2014,515,3,0,65
206,6/23/2014,476,4,1,85
206,7/11/2014,434,8,1,95
206,6/23/2014,476,4,1,65
206,6/2/2011,393,0,1,75
206,7/11/2014,434,0,1,100
206,6/19/2013,361,1,1,70
206,6/16/2012,404,3,1,25
207,6/3/2013,455,0,1,85
207,6/2/2011,500,0,1,95
207,6/16/2012,424,1,1,100
207,6/20/2011,439,3,1,80
208,7/6/2011,518,9,1,75
208,6/3/2013,435,0,1,90
208,6/30/2012,509,0,1,100
208,6/24/2014,384,0,0,25
208,6/16/2012,443,0,1,70
210,7/11/2014,535,1,1,30
210,7/11/2014,535,6,1,15
210,6/30/2012,375,6,0,40
210,6/4/2014,553,0,1,65
210,6/4/2014,553,0,1,95
211,7/11/2014,452,0,1,80
211,7/11/2014,452,0,1,35
211,6/4/2014,426,0,1,80
211,7/6/2011,397,3,1,85
211,6/19/2013,547,0,1,75
212,7/11/2014,516,7,1,55
212,5/31/2012,447,1,1,35
212,6/23/2014,370,1,1,45
212,6/24/2014,515,0,1,30
212,7/6/2011,561,4,1,85
212,6/16/2012,519,1,0,50
212,6/30/2012,395,1,1,20
212,7/11/2014,516,2,1,70
212,6/3/2013,375,1,1,80
212,6/30/2012,395,5,0,15
332,7/1/2013,376,0,1,60
332,6/21/2014,399,0,1,75
332,7/9/2014,386,0,1,60
332,6/3/2011,449,0,1,85
332,6/22/2011,470,1,0,70
332,6/22/2011,470,9,1,90
333,6/20/2014,456,1,0,20
333,7/9/2014,365,1,1,80
333,7/1/2013,413,7,1,70
334,6/22/2011,503,9,0,75
334,5/29/2013,559,0,1,35
334,6/20/2014,440,6,1,20
334,6/3/2011,402,0,1,80
334,7/10/2011,416,2,1,75
334,6/3/2011,402,5,0,30
335,6/22/2011,367,1,1,15
335,6/22/2011,367,1,0,70
335,7/10/2011,399,1,1,90
335,6/22/2011,367,0,1,55
335,6/14/2012,368,0,1,75
335,6/22/2011,367,0,1,90
335,6/29/2012,497,0,1,65
335,7/10/2011,399,0,1,40
335,6/3/2011,571,2,1,25
335,5/30/2012,575,0,1,80
335,6/3/2011,571,8,1,20
336,5/30/2012,380,0,1,40
336,5/30/2012,380,3,1,100
336,6/14/2012,507,0,1,90
336,7/9/2014,479,1,0,60
336,6/14/2012,507,3,0,30
336,7/9/2014,479,0,1,60
336,6/22/2011,387,0,1,55
336,7/10/2011,367,1,1,35
336,7/10/2011,367,0,1,70
336,6/22/2011,387,0,1,40
336,6/20/2014,585,2,0,55
336,6/14/2012,507,3,1,45
336,6/20/2014,585,0,1,95
336,6/29/2012,474,0,1,80
337,6/21/2014,454,6,1,75
337,6/29/2012,435,0,1,65
337,6/16/2013,540,0,1,40
337,6/3/2011,504,0,1,100
337,6/29/2012,435,0,1,50
337,7/10/2011,505,3,1,20
338,6/20/2014,512,7,1,45
338,7/9/2014,410,4,1,75
338,6/3/2011,478,1,1,25
338,7/9/2014,410,0,1,50
338,7/10/2011,483,0,1,70
338,7/1/2013,560,7,1,65
338,7/10/2011,483,0,1,30
338,6/3/2011,478,0,1,35
357,7/3/2014,430,0,1,65
357,6/29/2012,398,9,1,65
357,6/3/2011,445,0,1,80
357,7/1/2013,430,3,1,90
357,7/1/2013,430,0,1,40
358,6/21/2011,570,2,1,70
358,7/1/2013,405,1,1,60
